2025-12-25 00:43:35.065281,795,23,72,1983
2025-12-25 00:43:38.741609,788,23,72,1986
2025-12-25 00:43:42.690826,791,23,72,2465
2025-12-25 00:43:48.223305,789,23,72,2384
2025-12-25 00:43:52.689600,786,23,72,853
2025-12-25 00:43:57.214024,782,23,72,1057
2025-12-25 00:44:01.117037,783,23,72,1346
2025-12-25 00:44:05.749953,784,23,72,1318
2025-12-25 00:44:10.948146,773,23,72,1347
2025-12-25 00:44:15.847949,784,23,72,1407
2025-12-25 00:44:20.912087,782,23,72,1456
2025-12-25 00:44:25.266967,775,23,72,1494
2025-12-25 00:44:29.748111,770,23,72,1535
2025-12-25 00:44:34.447375,767,23,72,1605
2025-12-25 00:44:39.211959,765,23,72,1669
2025-12-25 00:44:44.072579,763,23,72,1122
2025-12-25 00:44:48.700211,759,23,72,1171
2025-12-25 00:44:53.145357,755,23,72,1217
2025-12-25 00:44:57.318928,753,23,72,1229
2025-12-25 00:45:02.367214,752,23,72,1246
2025-12-25 00:45:07.354505,743,23,72,816
2025-12-25 00:45:12.051797,741,23,72,1010
2025-12-25 00:45:16.767148,742,23,72,1083
2025-12-25 00:45:21.823652,722,23,72,872
2025-12-25 00:45:26.807057,741,23,72,750
2025-12-25 00:45:31.533769,739,23,72,835
2025-12-25 00:45:37.572744,735,23,72,898
2025-12-25 00:45:42.269379,741,23,72,960
2025-12-25 00:45:46.924761,737,23,72,1061
2025-12-25 00:45:51.673430,733,23,72,1108
2025-12-25 00:45:55.994725,734,23,71,1168
2025-12-25 00:45:59.669222,734,23,71,1207
2025-12-25 00:46:03.804238,730,23,71,1239
2025-12-25 00:46:08.039630,726,23,71,1241
2025-12-25 00:46:12.135740,720,23,71,1296
2025-12-25 00:46:16.227398,720,23,71,1328
2025-12-25 00:46:20.167715,719,23,71,1349
2025-12-25 00:46:24.795783,718,23,71,1373
2025-12-25 00:46:29.563770,1417,23,71,1385
2025-12-25 00:46:33.931973,2021,23,71,1407
2025-12-25 00:46:37.940644,2223,23,72,1413
2025-12-25 00:46:41.630996,2154,23,72,1423
2025-12-25 00:46:46.949769,862,23,72,1425
2025-12-25 00:46:52.471305,671,23,72,1433
2025-12-25 00:46:56.833552,586,23,73,1437
2025-12-25 00:47:01.075971,496,23,73,1459
